Respondent ID,Month,Year,Survey Date,Response Time,Helpful Caring,Professional,Competent Knowledgeable,Overall Service,ObjectId
10565163263,February,2019,3/2/2019 0:46,3.0,4.0,4.0,5.0,5.0,1
10565912987,February,2019,3/2/2019 15:34,4.0,5.0,5.0,5.0,5.0,2
10566210826,February,2019,3/2/2019 20:32,4.0,5.0,5.0,4.0,5.0,3
10566372333,February,2019,3/2/2019 23:45,5.0,5.0,5.0,5.0,5.0,4
10566927260,February,2019,3/3/2019 14:50,5.0,5.0,5.0,5.0,5.0,5
10566981826,February,2019,3/3/2019 15:52,3.0,5.0,5.0,5.0,5.0,6
10567112116,February,2019,3/3/2019 18:18,3.0,4.0,3.0,4.0,3.0,7
10569177842,February,2019,3/4/2019 18:33,5.0,5.0,5.0,5.0,5.0,8
10569221823,February,2019,3/4/2019 18:50,4.0,5.0,5.0,5.0,5.0,9
10569228563,February,2019,3/4/2019 18:53,3.0,4.0,4.0,4.0,3.0,10
10569439195,February,2019,3/4/2019 20:12,4.0,5.0,5.0,4.0,5.0,11
10569994634,February,2019,3/5/2019 0:27,5.0,5.0,5.0,4.0,5.0,12
10570036741,February,2019,3/5/2019 0:53,5.0,5.0,5.0,5.0,5.0,13
10570101835,February,2019,3/5/2019 1:33,4.0,4.0,4.0,4.0,4.0,14
10701830520,April,2019,5/2/2019 7:56,4.0,4.0,4.0,4.0,4.0,15
10570153645,February,2019,3/5/2019 2:05,5.0,5.0,5.0,5.0,5.0,16
10570451338,February,2019,3/5/2019 5:44,5.0,4.0,4.0,4.0,5.0,17
10705624782,April,2019,5/3/2019 17:02,4.0,5.0,5.0,5.0,5.0,18
10570587010,February,2019,3/5/2019 7:49,5.0,5.0,5.0,5.0,5.0,19
10523787557,January,2019,2/11/2019 23:34,5.0,5.0,5.0,5.0,5.0,20
10661217711,July,2019,4/13/2019 0:05,5.0,5.0,5.0,5.0,5.0,21
10572384964,February,2019,3/5/2019 21:16,5.0,4.0,5.0,5.0,5.0,22
10705633099,April,2019,5/3/2019 17:05,5.0,5.0,5.0,5.0,5.0,23
10525079819,January,2019,2/12/2019 14:30,4.0,5.0,5.0,5.0,5.0,24
10572419946,February,2019,3/5/2019 21:30,5.0,5.0,5.0,5.0,5.0,25
10663232921,August,2019,4/14/2019 20:21,5.0,5.0,5.0,5.0,5.0,26
10705711475,April,2019,5/3/2019 17:34,4.0,5.0,5.0,5.0,5.0,27
10525303718,February,2019,2/12/2019 15:52,4.0,5.0,5.0,5.0,5.0,28
10572635983,February,2019,3/5/2019 23:06,5.0,4.0,5.0,5.0,5.0,29
10705751063,April,2019,5/3/2019 17:49,5.0,5.0,5.0,5.0,5.0,30
10663306264,September,2019,4/14/2019 21:50,4.0,5.0,5.0,5.0,5.0,31
10572752907,February,2019,3/6/2019 0:09,5.0,4.0,5.0,4.0,5.0,32
10705786998,April,2019,5/3/2019 18:03,5.0,5.0,5.0,5.0,5.0,33
10525306701,February,2019,2/12/2019 15:53,3.0,5.0,5.0,5.0,5.0,34
10663533205,October,2019,4/15/2019 2:19,4.0,5.0,5.0,5.0,5.0,35
10525337150,February,2019,2/12/2019 16:04,4.0,5.0,5.0,5.0,5.0,36
10575723657,February,2019,3/7/2019 0:59,5.0,5.0,5.0,5.0,5.0,37
10705898925,April,2019,5/3/2019 18:50,4.0,5.0,4.0,4.0,5.0,38
10663549721,November,2019,4/15/2019 2:36,5.0,5.0,5.0,5.0,5.0,39
10525378065,February,2019,2/12/2019 16:18,3.0,2.0,4.0,3.0,1.0,40
10581801530,February,2019,3/9/2019 18:10,4.0,5.0,5.0,4.0,5.0,41
10675979387,April,2019,4/19/2019 22:32,4.0,5.0,5.0,5.0,5.0,42
10705936934,April,2019,5/3/2019 19:05,5.0,5.0,5.0,5.0,5.0,43
10525385522,February,2019,2/12/2019 16:20,5.0,5.0,5.0,5.0,5.0,44
10675979885,April,2019,4/19/2019 22:32,5.0,5.0,5.0,5.0,5.0,45
10583047912,February,2019,3/11/2019 0:20,4.0,5.0,5.0,5.0,5.0,46
10705938914,April,2019,5/3/2019 19:06,4.0,5.0,5.0,5.0,5.0,47
10525512015,January,2019,2/12/2019 17:02,5.0,5.0,5.0,5.0,5.0,48
10675980751,April,2019,4/19/2019 22:36,5.0,5.0,5.0,5.0,5.0,49
10585059276,February,2019,3/11/2019 19:27,5.0,5.0,5.0,5.0,5.0,50
10676006832,April,2019,4/19/2019 22:56,3.0,5.0,5.0,5.0,5.0,51
10706069518,April,2019,5/3/2019 20:02,4.0,3.0,4.0,4.0,4.0,52
10525577406,February,2019,2/12/2019 17:25,3.0,4.0,4.0,5.0,5.0,53
10676024907,April,2019,4/19/2019 23:13,4.0,4.0,4.0,4.0,5.0,54
10585099888,February,2019,3/11/2019 19:40,5.0,5.0,5.0,5.0,5.0,55
10706136755,April,2019,5/3/2019 20:31,5.0,5.0,5.0,5.0,5.0,56
10525598683,February,2019,2/12/2019 17:32,5.0,5.0,5.0,5.0,5.0,57
10676029057,April,2019,4/19/2019 23:16,5.0,5.0,5.0,5.0,5.0,58
10585275454,February,2019,3/11/2019 20:39,5.0,4.0,4.0,5.0,3.0,59
